"Story","Title","Result","Date","Stability","Duration (s)"
"Driver on-boarding","Create new driver","SUCCESS","2019-10-04T07:17:11.046Z[GMT]","0.0","82.59"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-04T07:18:33.662Z[GMT]","0.0","110.97"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-04T07:20:24.67Z[GMT]","0.0","174.71"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-04T07:23:19.419Z[GMT]","0.0","85.23"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-04T07:24:44.664Z[GMT]","0.0","117.13"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-04T07:26:41.798Z[GMT]","0.0","93.15"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-04T07:28:14.967Z[GMT]","0.0","123.53"
