"Story","Title","Result","Date","Stability","Duration (s)"
"Driver on-boarding","Create new driver","SUCCESS","2019-10-02T03:58:47.044Z[GMT]","0.0","73.58"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-02T04:00:00.656Z[GMT]","0.0","93.24"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-02T04:01:33.907Z[GMT]","0.0","153.1"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-02T04:04:07.024Z[GMT]","0.0","80.64"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-02T04:05:27.688Z[GMT]","0.0","117.63"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-02T04:07:25.327Z[GMT]","0.0","79.2"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-02T04:08:44.538Z[GMT]","0.0","113.85"
