"Story","Title","Result","Date","Stability","Duration (s)"
"Driver on-boarding","Create new driver","SUCCESS","2019-10-07T09:11:04.85Z[GMT]","0.0","81.28"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-07T09:12:26.155Z[GMT]","0.0","110.55"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-07T09:14:16.726Z[GMT]","0.0","178.68"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-07T09:17:15.417Z[GMT]","0.0","95.48"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-07T09:18:50.91Z[GMT]","0.0","138.54"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-07T09:21:09.459Z[GMT]","0.0","88.55"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-07T09:22:38.025Z[GMT]","0.0","138.17"
