"Story","Title","Result","Date","Stability","Duration (s)"
"Driver on-boarding","Create new driver","SUCCESS","2019-10-04T04:16:27.827Z[GMT]","0.0","72.62"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-04T04:19:33.973Z[GMT]","0.0","156.27"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-04T04:22:10.262Z[GMT]","0.0","84.04"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-04T04:23:34.313Z[GMT]","0.0","120.77"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-04T04:25:35.09Z[GMT]","0.0","80.63"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-04T04:26:55.738Z[GMT]","0.0","117.83"
