"Story","Title","Result","Date","Stability","Duration (s)"
"Driver on-boarding","Create new driver","SUCCESS","2019-10-08T07:43:54.252Z[GMT]","0.0","79.8"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-08T07:45:14.065Z[GMT]","0.0","110.29"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-08T07:47:04.361Z[GMT]","0.0","175.32"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-08T07:49:59.706Z[GMT]","0.0","92.9"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-08T07:51:32.633Z[GMT]","0.0","134.29"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-08T07:53:46.943Z[GMT]","0.0","92.93"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-08T07:55:19.884Z[GMT]","0.0","133.19"
