"Story","Title","Result","Date","Stability","Duration (s)"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-09T06:44:50.163Z[GMT]","0.0","100.92"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-09T06:46:31.118Z[GMT]","0.0","162.53"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-09T06:49:13.677Z[GMT]","0.0","87.4"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-09T06:50:41.096Z[GMT]","0.0","125.21"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-09T06:52:46.321Z[GMT]","0.0","84.46"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-09T06:54:10.796Z[GMT]","0.0","119.76"
