"Story","Title","Result","Date","Stability","Duration (s)"
"Driver on-boarding","Create new driver","SUCCESS","2019-10-03T04:17:52.752Z[GMT]","0.0","75.63"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-03T04:19:08.397Z[GMT]","0.0","93.15"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-03T04:20:41.58Z[GMT]","0.0","152.33"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-03T04:23:13.929Z[GMT]","0.0","81.23"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-03T04:24:35.186Z[GMT]","0.0","116.0"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-03T04:26:31.215Z[GMT]","0.0","78.34"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-03T04:27:49.578Z[GMT]","0.0","111.74"
