"Story","Title","Result","Date","Stability","Duration (s)"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-04T07:36:13.016Z[GMT]","0.0","121.3"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-04T07:38:14.351Z[GMT]","0.0","159.97"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-04T07:40:54.333Z[GMT]","0.0","85.02"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-04T07:42:19.367Z[GMT]","0.0","123.29"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-04T07:44:22.657Z[GMT]","0.0","82.45"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-04T07:45:45.114Z[GMT]","0.0","118.85"
