"Story","Title","Result","Date","Stability","Duration (s)"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-02T09:37:52.43Z[GMT]","0.0","94.8"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","FAILURE","2019-10-02T09:39:27.255Z[GMT]","0.0","64.41"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-02T09:40:31.765Z[GMT]","0.0","83.66"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-02T09:41:55.438Z[GMT]","0.0","119.54"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-02T09:43:54.995Z[GMT]","0.0","79.67"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-02T09:45:14.684Z[GMT]","0.0","117.5"
