"Story","Title","Result","Date","Stability","Duration (s)"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-03T03:20:42.999Z[GMT]","0.0","101.71"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-03T03:22:24.723Z[GMT]","0.0","161.89"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-03T03:25:06.627Z[GMT]","0.0","85.02"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-03T03:26:31.652Z[GMT]","0.0","120.07"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-03T03:28:31.735Z[GMT]","0.0","78.88"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-03T03:29:50.623Z[GMT]","0.0","122.51"
