"Story","Title","Result","Date","Stability","Duration (s)"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-08T04:51:24.534Z[GMT]","0.0","94.95"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-08T04:52:59.513Z[GMT]","0.0","152.81"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-08T04:55:32.33Z[GMT]","0.0","81.49"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-08T04:56:53.827Z[GMT]","0.0","120.53"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-08T04:58:54.37Z[GMT]","0.0","79.57"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-08T05:00:13.946Z[GMT]","0.0","116.08"
