"Story","Title","Result","Date","Stability","Duration (s)"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with one driver","SUCCESS","2019-10-04T07:50:31.852Z[GMT]","0.0","98.3"
"Hydra - Hybrid order on app","Full flow hybrid order happy case with multiple driver","SUCCESS","2019-10-04T07:52:10.172Z[GMT]","0.0","156.67"
"Hydra - Marketplace order on app","Driver should be able to bidding new order when drivers of this order reject new offer","SUCCESS","2019-10-04T07:54:46.859Z[GMT]","0.0","85.05"
"Hydra - Marketplace order on app","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-04T07:56:11.934Z[GMT]","0.0","123.47"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case","SUCCESS","2019-10-04T07:58:15.428Z[GMT]","0.0","82.13"
"Hydra - Marketplace order on ops tool","Full flow marketplace order happy case with multiple drivers","SUCCESS","2019-10-04T07:59:37.583Z[GMT]","0.0","141.04"
